2015 - Enero | Nacional | 177.836233 | 146.347857
2015 - Enero | Nacional | 210.626467 | 148.730457
2015 - Enero | Nacional | 222.419017 | 159.995443
2015 - Febrero | Nacional | 230.951100 | 140.800414
2015 - Febrero | Nacional | 196.262233 | 161.140443
2015 - Febrero | Nacional | 179.941333 | 139.669200
2015 - Febrero | Nacional | 216.941700 | 188.154000
2015 - Febrero | Nacional | 229.876033 | 150.506700
2015 - Marzo | Nacional | 245.182817 | 157.305414
2015 - Marzo | Nacional | 204.052850 | 161.319443
2015 - Marzo | Nacional | 189.526683 | 147.427214
2015 - Marzo | Nacional | 224.465733 | 163.544257
2015 - Marzo | Nacional | 237.031800 | 143.859714
2015 - Abril | Nacional | 252.306567 | 198.559471
2015 - Abril | Nacional | 206.023467 | 133.447086
2015 - Abril | Nacional | 200.098350 | 164.114557
2015 - Abril | Nacional | 235.017767 | 178.421543
2015 - Abril | Nacional | 244.184033 | 151.718929
2015 - Mayo | Nacional | 258.488850 | 166.187614
2015 - Mayo | Nacional | 210.258200 | 147.419000
2015 - Mayo | Nacional | 207.191783 | 205.265986
2015 - Mayo | Nacional | 242.668650 | 163.218814
2015 - Mayo | Nacional | 251.566333 | 180.755229
2015 - Junio | Nacional | 265.014833 | 182.082457
2015 - Junio | Nacional | 216.009200 | 161.824343
2015 - Junio | Nacional | 211.858800 | 168.047014
2015 - Junio | Nacional | 250.870367 | 156.186214
2015 - Junio | Nacional | 257.674750 | 222.700029
2015 - Julio | Nacional | 270.475883 | 171.530043
2015 - Julio | Nacional | 217.680583 | 194.722686
2015 - Julio | Nacional | 213.879450 | 183.693357
2015 - Julio | Nacional | 257.354100 | 167.411443
2015 - Julio | Nacional | 264.628767 | 171.004557
2015 - Agosto | Nacional | 283.380450 | 160.855514
2015 - Agosto | Nacional | 227.390033 | 228.551900
2015 - Agosto | Nacional | 220.750300 | 183.739314
2015 - Agosto | Nacional | 273.329617 | 199.768029
2015 - Mayo | Nacional | 299.303533 | 172.132486
2015 - Mayo | Nacional | 240.284717 | 173.029300
2015 - Mayo | Nacional | 239.827550 | 164.619200
2015 - Mayo | Nacional | 292.818767 | 233.410271
2015 - Octubre | Nacional | 306.403150 | 205.200843
2015 - Octubre | Nacional | 254.882150 | 203.456686
2015 - Octubre | Nacional | 251.711833 | 176.848714
2015 - Octubre | Nacional | 315.621083 | 174.212586
2015 - Octubre | Nacional | 312.773817 | 169.154371
2015 - Noviembre | Nacional | 322.032867 | 243.125471
2015 - Noviembre | Nacional | 269.465083 | 199.318543
2015 - Noviembre | Nacional | 263.050950 | 208.953586
2015 - Noviembre | Nacional | 318.578800 | 218.183843
2015 - Noviembre | Nacional | 329.576733 | 183.317414
2015 - Diciembre | Nacional | 332.717100 | 176.561957
2015 - Diciembre | Nacional | 277.866533 | 176.335614
2015 - Diciembre | Nacional | 270.147050 | 259.697586
2015 - Diciembre | Nacional | 335.514150 | 204.914329
2015 - Diciembre | Nacional | 290.339750 | 182.411729
2020 - Enero | Nacional | 348.350883 | 220.415786
2020 - Enero | Nacional | 289.673167 | 187.451543
2020 - Enero | Nacional | 273.765250 | 178.619014
2020 - Enero | Nacional | 332.522767 | 182.470186
2020 - Enero | Nacional | 351.512933 | 265.968443
2020 - Febrero | Nacional | 358.559883 | 212.385586
2020 - Febrero | Nacional | 293.777933 | 222.434529
2020 - Febrero | Nacional | 280.113833 | 230.536971
2020 - Febrero | Nacional | 339.355133 | 191.175314
2020 - Febrero | Nacional | 359.547183 | 213.306200
2020 - Marzo | Nacional | 372.279933 | 190.831143
2020 - Marzo | Nacional | 302.091017 | 272.088171
2020 - Marzo | Nacional | 291.099217 | 220.252971
2020 - Marzo | Nacional | 349.207567 | 232.110200
2020 - Marzo | Nacional | 366.970750 | 239.497143
2020 - Abril | Nacional | 383.760833 | 198.045371
2020 - Abril | Nacional | 306.876067 | 218.311643
2020 - Abril | Nacional | 295.668167 | 198.453914
2020 - Abril | Nacional | 353.644800 | 285.762186
2020 - Abril | Nacional | 314.400867 | 230.696457
2020 - Mayo | Nacional | 386.704133 | 240.418529
2020 - Mayo | Nacional | 306.957233 | 245.488271
2020 - Mayo | Nacional | 313.217117 | 203.020800
2020 - Mayo | Nacional | 363.491267 | 222.055814
