04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 127.1644 | 2.6 | NA | GBA | 2017 - Agosto
06 | Salud  | Nivel general y divisiones COICOP | 118.3191 | 2.9 | NA | GBA | 2017 - Agosto
07 | Transporte  | Nivel general y divisiones COICOP | 109.2582 | 1.1 | NA | GBA | 2017 - Agosto
08 | Comunicaci n  | Nivel general y divisiones COICOP | 123.3833 | 1.9 | NA | GBA | 2017 - Agosto
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 116.1082 | 0 | NA | GBA | 2017 - Agosto
10 | Educaci n  | Nivel general y divisiones COICOP | 121.9879 | 1.5 | NA | GBA | 2017 - Agosto
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 115.0985 | 0.9 | NA | GBA | 2017 - Agosto
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 128.2415 | 0.8 | NA | GBA | 2017 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 121.1943 | 2.4 | NA | GBA | 2017 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 110.258 | 0.9 | NA | GBA | 2017 - Mayo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 124.5391 | 0.9 | NA | GBA | 2017 - Mayo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 120.017 | 3.4 | NA | GBA | 2017 - Mayo
10 | Educaci n  | Nivel general y divisiones COICOP | 128.2949 | 5.2 | NA | GBA | 2017 - Mayo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 116.4971 | 1.2 | NA | GBA | 2017 - Mayo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 128.9128 | 0.5 | NA | GBA | 2017 - Octubre
06 | Salud  | Nivel general y divisiones COICOP | 122.1487 | 0.8 | NA | GBA | 2017 - Octubre
07 | Transporte  | Nivel general y divisiones COICOP | 111.165 | 0.8 | NA | GBA | 2017 - Octubre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 130.4597 | 4.8 | NA | GBA | 2017 - Octubre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 120.605 | 0.5 | NA | GBA | 2017 - Octubre
10 | Educaci n  | Nivel general y divisiones COICOP | 129.2551 | 0.7 | NA | GBA | 2017 - Octubre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 118.4669 | 1.7 | NA | GBA | 2017 - Octubre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 130.1608 | 1 | NA | GBA | 2017 - Noviembre
06 | Salud  | Nivel general y divisiones COICOP | 123.5655 | 1.2 | NA | GBA | 2017 - Noviembre
07 | Transporte  | Nivel general y divisiones COICOP | 114.133 | 2.7 | NA | GBA | 2017 - Noviembre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 131.1853 | 0.6 | NA | GBA | 2017 - Noviembre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 120.7139 | 0.1 | NA | GBA | 2017 - Noviembre
10 | Educaci n  | Nivel general y divisiones COICOP | 129.7823 | 0.4 | NA | GBA | 2017 - Noviembre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 120.4916 | 1.7 | NA | GBA | 2017 - Noviembre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 154.7145 | 18.9 | 54.7 | GBA | 2017 - Diciembre
06 | Salud  | Nivel general y divisiones COICOP | 127.1571 | 2.9 | 27.2 | GBA | 2017 - Diciembre
07 | Transporte  | Nivel general y divisiones COICOP | 117.4772 | 2.9 | 17.5 | GBA | 2017 - Diciembre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 134.1889 | 2.3 | 34.2 | GBA | 2017 - Diciembre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 121.4988 | 0.7 | 21.5 | GBA | 2017 - Diciembre
10 | Educaci n  | Nivel general y divisiones COICOP | 129.748 | 0 | 29.7 | GBA | 2017 - Diciembre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 122.6855 | 1.8 | 22.7 | GBA | 2017 - Diciembre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 152.2688 | -1.6 | 52.3 | GBA | 2018 - Enero
06 | Salud  | Nivel general y divisiones COICOP | 129.5154 | 1.9 | 27.8 | GBA | 2018 - Enero
07 | Transporte  | Nivel general y divisiones COICOP | 119.9686 | 2.1 | 17.9 | GBA | 2018 - Enero
08 | Comunicaci n  | Nivel general y divisiones COICOP | 136.6736 | 1.9 | 31.6 | GBA | 2018 - Enero
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 126.2139 | 3.9 | 22.2 | GBA | 2018 - Enero
10 | Educaci n  | Nivel general y divisiones COICOP | 129.8915 | 0.1 | 29.3 | GBA | 2018 - Enero
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 126.6387 | 3.2 | 22.6 | GBA | 2018 - Enero
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 159.7757 | 4.9 | 47.4 | GBA | 2018 - Febrero
06 | Salud  | Nivel general y divisiones COICOP | 133.0564 | 2.7 | 27.1 | GBA | 2018 - Febrero
07 | Transporte  | Nivel general y divisiones COICOP | 125.3874 | 4.5 | 21.1 | GBA | 2018 - Febrero
08 | Comunicaci n  | Nivel general y divisiones COICOP | 147.1762 | 7.7 | 36.2 | GBA | 2018 - Febrero
