04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 102.6271 | 2.6 | NA | Cuyo | Enero - 2017
07 | Transporte | Nivel general y divisiones COICOP | 102.4768 | 2.5 | NA | Patagonia | Enero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 103.8174 | 3.8 | NA | GBA | Enero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 102.0782 | 2.1 | NA | Pampeana | Enero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 102.7252 | 2.7 | NA | Noreste | Enero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 104.1098 | 4.1 | NA | Noroeste | Enero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 102.7973 | 2.8 | NA | Cuyo | Enero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 101.6649 | 1.7 | NA | Patagonia | Enero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.243 | 3.2 | NA | GBA | Enero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.5814 | 3.6 | NA | Pampeana | Enero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.633 | 3.6 | NA | Noreste | Enero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.4112 | 3.4 | NA | Noroeste | Enero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 101.494 | 1.5 | NA | Cuyo | Enero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100.9612 | 1 | NA | Patagonia | Enero - 2017
10 | Educación | Nivel general y divisiones COICOP | 100.4869 | 0.5 | NA | GBA | Enero - 2017
10 | Educación | Nivel general y divisiones COICOP | 100.3682 | 0.4 | NA | Pampeana | Enero - 2017
10 | Educación | Nivel general y divisiones COICOP | 101.6601 | 1.7 | NA | Noreste | Enero - 2017
10 | Educación | Nivel general y divisiones COICOP | 100.5123 | 0.5 | NA | Noroeste | Enero - 2017
10 | Educación | Nivel general y divisiones COICOP | 100 | 0 | NA | Cuyo | Enero - 2017
10 | Educación | Nivel general y divisiones COICOP | 106.9917 | 7 | NA | Patagonia | Enero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 103.2868 | 3.3 | NA | GBA | Enero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 103.1259 | 3.1 | NA | Pampeana | Enero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 104.2939 | 4.3 | NA | Noreste | Enero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 102.48 | 2.5 | NA | Noroeste | Enero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 101.8587 | 1.9 | NA | Cuyo | Enero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 102.2654 | 2.3 | NA | Patagonia | Enero - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 108.4042 | 8.4 | NA | GBA | Febrero - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 104.5783 | 2.3 | NA | Pampeana | Febrero - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 103.9854 | 2.6 | NA | Noreste | Febrero - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 107.6923 | 6 | NA | Noroeste | Febrero - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 106.7382 | 3.7 | NA | Cuyo | Febrero - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 112.0198 | 1.5 | NA | Patagonia | Febrero - 2017
06 | Salud | Nivel general y divisiones COICOP | 104.6961 | 3.3 | NA | GBA | Febrero - 2017
06 | Salud | Nivel general y divisiones COICOP | 105.4773 | 2.3 | NA | Pampeana | Febrero - 2017
06 | Salud | Nivel general y divisiones COICOP | 105.2343 | 2.6 | NA | Noreste | Febrero - 2017
06 | Salud | Nivel general y divisiones COICOP | 104.0851 | 1.3 | NA | Noroeste | Febrero - 2017
06 | Salud | Nivel general y divisiones COICOP | 105.4921 | 2.3 | NA | Cuyo | Febrero - 2017
06 | Salud | Nivel general y divisiones COICOP | 107.0073 | 2.2 | NA | Patagonia | Febrero - 2017
07 | Transporte | Nivel general y divisiones COICOP | 103.5441 | 1.8 | NA | GBA | Febrero - 2017
07 | Transporte | Nivel general y divisiones COICOP | 104.4485 | 2 | NA | Pampeana | Febrero - 2017
07 | Transporte | Nivel general y divisiones COICOP | 101.2812 | 0.9 | NA | Noreste | Febrero - 2017
07 | Transporte | Nivel general y divisiones COICOP | 105.5673 | 2.6 | NA | Noroeste | Febrero - 2017
