10|Educación|Nivel general y divisiones COICOP|122.8868|0.8|NA|Nacional|Julio - 2017
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|113.777|2.6|NA|Nacional|Julio - 2017
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|126.7648|2.2|NA|Nacional|Agosto - 2017
06|Salud|Nivel general y divisiones COICOP|119.0025|2.5|NA|Nacional|Agosto - 2017
07|Transporte|Nivel general y divisiones COICOP|111.0994|1.1|NA|Nacional|Agosto - 2017
08|Comunicación|Nivel general y divisiones COICOP|123.052|1.5|NA|Nacional|Agosto - 2017
09|Recreación y cultura|Nivel general y divisiones COICOP|116.3997|0.7|NA|Nacional|Agosto - 2017
10|Educación|Nivel general y divisiones COICOP|125.3185|2|NA|Nacional|Agosto - 2017
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|114.5928|0.7|NA|Nacional|Agosto - 2017
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|129.2656|2|NA|Nacional|Septiembre - 2017
06|Salud|Nivel general y divisiones COICOP|121.8977|2.4|NA|Nacional|Septiembre - 2017
07|Transporte|Nivel general y divisiones COICOP|111.9943|0.8|NA|Nacional|Septiembre - 2017
08|Comunicación|Nivel general y divisiones COICOP|124.3454|1.1|NA|Nacional|Septiembre - 2017
09|Recreación y cultura|Nivel general y divisiones COICOP|119.536|2.7|NA|Nacional|Septiembre - 2017
10|Educación|Nivel general y divisiones COICOP|129.9791|3.7|NA|Nacional|Septiembre - 2017
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|116.2141|1.4|NA|Nacional|Septiembre - 2017
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|130.4139|0.9|NA|Nacional|Octubre - 2017
06|Salud|Nivel general y divisiones COICOP|123.2121|1.1|NA|Nacional|Octubre - 2017
07|Transporte|Nivel general y divisiones COICOP|113.4318|1.3|NA|Nacional|Octubre - 2017
08|Comunicación|Nivel general y divisiones COICOP|130.9342|5.3|NA|Nacional|Octubre - 2017
09|Recreación y cultura|Nivel general y divisiones COICOP|121.032|1.3|NA|Nacional|Octubre - 2017
10|Educación|Nivel general y divisiones COICOP|131.0253|0.8|NA|Nacional|Octubre - 2017
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|117.834|1.4|NA|Nacional|Octubre - 2017
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|132.0294|1.2|NA|Nacional|Noviembre - 2017
06|Salud|Nivel general y divisiones COICOP|124.8225|1.3|NA|Nacional|Noviembre - 2017
07|Transporte|Nivel general y divisiones COICOP|116.8496|3|NA|Nacional|Noviembre - 2017
08|Comunicación|Nivel general y divisiones COICOP|131.8833|0.7|NA|Nacional|Noviembre - 2017
09|Recreación y cultura|Nivel general y divisiones COICOP|121.8725|0.7|NA|Nacional|Noviembre - 2017
10|Educación|Nivel general y divisiones COICOP|131.4832|0.3|NA|Nacional|Noviembre - 2017
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|119.9896|1.8|NA|Nacional|Noviembre - 2017
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|155.5929|17.8|55.6|Nacional|Diciembre - 2017
06|Salud|Nivel general y divisiones COICOP|127.7938|2.4|27.8|Nacional|Diciembre - 2017
07|Transporte|Nivel general y divisiones COICOP|120.6253|3.2|20.6|Nacional|Diciembre - 2017
08|Comunicación|Nivel general y divisiones COICOP|134.1367|1.7|34.1|Nacional|Diciembre - 2017
09|Recreación y cultura|Nivel general y divisiones COICOP|122.7547|0.7|22.8|Nacional|Diciembre - 2017
10|Educación|Nivel general y divisiones COICOP|131.4716|0|31.5|Nacional|Diciembre - 2017
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|122.136|1.8|22.1|Nacional|Diciembre - 2017
